ad_id,period,budget,target_CPA,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
56864799,20260207,6.76347,5.22,1.48259931,3.4828560658105254,0.7634660906309926,0.011482876712328767,5.163679999999999,3353,72,-0.33278619428917133
56938464,20260207,749.1658900000002,1.65,690.0003460000001,1.080412037938311,0.995086255195094,0.006792177614952764,745.4846799999999,40046,72,-0.34520482549193265
56963719,20260207,31.25,7.0,2.4867073999999993,1.7048045137920131,0.1356592,0.030130483602431563,4.23935,77818,72,-0.7564564980297125
57222417,20260207,5.555555555555555,1.52,0.3850852599999995,0.0,0.0,0.07616279069767441,0.0,4585,72,-1.0
57240198,20260207,36.39775,4.14,14.118849459999996,1.2265425769331777,0.4757813326373196,0.003749607500112143,17.31737,8359,72,-0.7037336770692807
57326971,20260207,40.0,4.1,0.9091355399999992,11.27634939890262,0.25629325,0.0029473867595818815,10.251729999999998,8459,72,1.750329121683566
57339315,20260207,166.66666666666666,6.0,0.7559882799999987,5.09047574123769,0.023090040000000003,0.010458333333333333,3.8483400000000003,4267,72,-0.15158737646038492
57424010,20260207,5.589919999999999,7.1,0.9023937399999991,6.194546518019957,1.0000000000000002,0.01645357399086206,5.58992,43574,72,-0.1275286594338089
57429522,20260207,6.862745098039215,6.0,4.830433759999999,1.3065203485990875,0.9196116000000001,0.0012989493791786056,6.31106,1224,72,-0.7822466085668188
57521810,20260207,626.15678,4.5,311.66268919000015,2.0498868557555228,1.0203087635655725,0.04613256575878476,638.8732500000002,840623,72,-0.5444695876098838
57574306,20260207,21.73913043478261,1.94,0.1508106599999999,1.378284532406397,0.009561559999999998,0.1273449920508744,0.20786,8010,72,-0.28954405546062006
57575512,20260207,5.524861878453039,1.87,3.953474889999998,0.8566438624832146,0.6129963199999999,0.0026078150891554663,3.38672,18413,72,-0.5419016778164628
57579039,20260207,69.34497,5.0,24.49807011,2.8512694953667923,1.0072915166017087,0.006489292667099286,69.8506,3000,72,-0.42974610092664156
57611618,20260207,143.08837,5.6,37.39685122999999,3.830063368680039,1.0010059517765142,0.01273807508717289,143.23231,37627,72,-0.3160601127357073
57655917,20260207,1468.0747299999998,8.5,19.981865049999996,3.354199912385056,0.045653786302826696,0.011986332231901473,67.02317,159610,72,-0.6053882456017581
57664872,20260207,118.42105263157896,6.1,0.385075829999999,0.773509986331785,0.0025152622222222223,0.020181830517674196,0.29786,29746,72,-0.8731950842079041
57724669,20260207,420.4162162162162,3.33,20.021833800000003,1.8702108095613095,0.08906661673759594,0.006686807653575025,37.445049999999995,13280,72,-0.43837513226387104
57813819,20260207,1.3888888888888888,2.63,0.7436829199999995,0.3781853696465157,0.2025,0.04126251846987358,0.28125,25133,72,-0.8562032815032259
57813830,20260207,1.3888888888888888,2.63,0.5706688599999996,1.2017477175817872,0.493776,0.029307542836954602,0.6858,16591,72,-0.5430617043415258
57847622,20260207,168.90041,1.57,10.618402929999998,0.9005704589513067,0.05661691407380242,0.0006158696794534945,9.562619999999999,1758,72,-0.4263882427061741
57855436,20260207,247.62652,1.18,72.07211233,1.227383063159903,0.35723189099455105,0.08080210387902696,88.46009000000001,49160,72,0.04015513827110427
57863659,20260207,66.66666666666667,5.0,9.79001151,1.3871485223616453,0.20370299999999997,0.002747660979636764,13.5802,1997,72,-0.7225702955276709
57922732,20260207,90.9090909090909,6.8,5.4587086299999985,6.808914437332774,0.40884667999999996,0.34640304182509507,37.16788,45552,72,0.0013109466665844568
57950075,20260207,3.5460992907801416,3.69,1.4694264899999996,0.6567936583203969,0.27216102,0.011215429403202328,0.9651099999999999,1541,72,-0.8220071386665592
57950895,20260207,56.60377358490566,2.13,18.751780509999996,0.7874580225661997,0.26087024,0.013494152046783626,14.76624,9230,72,-0.6303013978562443
57951243,20260207,373.1092299999999,2.23,167.37513349,1.463428496770306,0.6564874849115903,0.02010058966354492,244.94154,46360,72,-0.34375403732273274
57999311,20260207,1210.1338899999996,2.2,396.0926555,1.352627377863612,0.44273263845209737,0.00438768317009884,535.76577,29254,72,-0.38516937369835824
58085427,20260207,79.19066,1.9,23.327134010000005,1.3871228238380577,0.40860374190592685,0.014334763948497854,32.357600000000005,5678,72,-0.2699353558747064
58112502,20260207,101.010101010101,2.4,28.534833840000005,1.327708800143481,0.37507090500000007,0.014779865771812081,37.88595,11011,72,-0.4467879999402163
58114863,20260207,203.00614,2.08,69.89706244000001,1.434260131977014,0.49383023587365393,0.006518412322669912,100.25057000000001,39102,72,-0.31045185962643557
58134130,20260207,8.695652173913043,2.0,4.70832877,1.4064332215271367,0.76152425,0.07139323160456844,6.62195,305049,72,-0.29678338923643166
58240026,20260207,50.0,2.23,29.819801929999997,1.1137411334240879,0.6642308,0.007303617500137235,33.21154,26610,72,-0.5005645141596019
58283047,20260207,420.4162162162162,3.33,11.93555118,2.88911081524096,0.0820214079997943,0.004605805773429288,34.48313,5696,72,-0.13239915458229426
